"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2017","457.00","463.75","468.00","454.75","92.37K","-1.40%"
"08/07/2017","463.50","457.75","464.00","454.25","71.29K","1.92%"
"08/04/2017","454.75","457.75","461.50","453.50","56.08K","-0.66%"
"08/03/2017","457.75","461.00","463.75","454.25","63.50K","-0.65%"
"08/02/2017","460.75","462.00","466.75","455.75","82.58K","-0.11%"
"08/01/2017","461.25","469.00","478.00","460.50","83.06K","-2.79%"
"07/31/2017","474.50","478.75","480.75","471.50","54.21K","-1.35%"
"07/28/2017","481.00","480.25","489.25","478.00","49.70K","0.26%"
"07/27/2017","479.75","478.25","485.50","477.50","47.25K","0.42%"
"07/26/2017","477.75","476.00","481.00","473.00","58.01K","0.79%"
"07/25/2017","474.00","494.75","495.25","473.25","93.08K","-3.02%"
"07/24/2017","488.75","496.25","496.50","483.00","90.52K","-2.10%"
"07/21/2017","499.25","506.50","510.25","497.50","72.40K","-1.29%"
"07/20/2017","505.75","504.50","508.25","495.00","68.99K","0.55%"
"07/19/2017","503.00","504.00","509.00","500.00","71.11K","-0.15%"
"07/18/2017","503.75","509.00","517.75","503.00","76.02K","-0.44%"
"07/17/2017","506.00","509.50","512.00","502.75","60.38K","2.27%"
"07/14/2017","494.75","513.50","520.50","508.50","0.01K","-0.15%"
"07/13/2017","495.50","516.00","516.00","496.00","0.01K","-5.17%"
"07/12/2017","522.50","533.50","534.25","521.50","0.15K","-2.43%"
"07/11/2017","535.50","531.25","533.25","528.50","0.05K","0.94%"
"07/10/2017","530.50","530.75","531.00","530.50","0.06K","2.96%"
"07/07/2017","515.25","515.75","524.00","514.50","0.10K","-0.72%"
"07/06/2017","519.00","519.00","528.75","519.00","0.20K","-3.76%"
"07/05/2017","539.25","544.50","556.00","517.50","0.49K","0.47%"
"07/03/2017","536.75","518.25","539.00","518.25","1.13K","5.04%"
"06/30/2017","511.00","480.25","511.50","480.25","3.79K","6.40%"
"06/29/2017","480.25","457.00","483.75","456.25","30.88K","5.03%"
"06/28/2017","457.25","453.50","459.25","451.50","23.42K","0.88%"
"06/27/2017","453.25","450.00","457.00","449.25","28.32K","0.72%"
"06/26/2017","450.00","458.00","460.75","449.25","42.69K","-2.12%"
"06/23/2017","459.75","464.75","467.00","459.00","58.27K","-0.33%"
"06/22/2017","461.25","464.50","465.25","455.50","62.65K","-0.70%"
"06/21/2017","464.50","473.50","473.75","463.50","71.14K","-1.69%"
"06/20/2017","472.50","469.00","474.75","463.00","85.16K","1.18%"
"06/19/2017","467.00","463.75","473.25","458.50","111.59K","0.38%"
"06/16/2017","465.25","456.00","468.50","455.50","117.47K","2.53%"
"06/15/2017","453.75","443.00","457.25","437.25","115.59K","2.43%"
"06/14/2017","443.00","445.00","452.25","441.75","102.30K","-0.45%"
"06/13/2017","445.00","437.25","446.25","436.75","101.36K","2.53%"
"06/12/2017","434.00","443.25","444.00","431.25","110.89K","-2.64%"
"06/09/2017","445.75","448.75","454.25","443.75","119.22K","-0.78%"
"06/08/2017","449.25","447.25","455.75","446.00","138.86K","1.01%"
"06/07/2017","444.75","438.00","448.75","437.50","128.33K","2.07%"
"06/06/2017","435.75","429.25","440.75","429.25","104.06K","1.46%"
"06/05/2017","429.50","428.75","433.25","425.50","78.89K","0.00%"
"06/02/2017","429.50","428.00","434.00","426.50","54.08K","0.12%"
"06/01/2017","429.00","429.50","431.25","421.25","73.75K","-0.06%"
"05/31/2017","429.25","433.50","436.25","428.25","66.68K","-0.06%"
"05/30/2017","429.50","438.50","439.25","426.25","77.25K","-2.00%"
"05/26/2017","438.25","430.25","439.00","429.25","48.91K","1.74%"
"05/25/2017","430.75","431.50","436.00","430.25","43.99K","-0.40%"
"05/24/2017","432.50","429.25","433.00","427.50","46.73K","0.70%"
"05/23/2017","429.50","433.50","435.75","428.00","65.20K","-1.09%"
